epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.347,1.03183,2.56267,15.9766,1.12865,0.64735,0.14615,0.11216,0.07672,0.66367,0.16154,0.13771,0.0955,1.07724,1.2829,57.1711,1.12092,0.000551149,0.000551149,0.000551149
2,478.413,1.37387,2.38051,14.4728,1.24383,0.58195,0.06154,0.03006,0.01912,0.58195,0.06154,0.03108,0.02269,1.20512,1.36361,34.0679,1.27204,0.0010849,0.0010849,0.0010849
3,831.964,1.4632,2.60157,9.17996,1.33015,0.50054,0.21538,0.00234,0.00147,0.50056,0.22308,0.00234,0.00156,1.45178,2.1404,515.526,1.56438,0.00159665,0.00159665,0.00159665
4,1224.24,1.511,2.23951,6.00375,1.35652,0.63878,0.13302,0.09436,0.06223,0.63878,0.13302,0.09394,0.06204,1.22599,2.5733,9.83059,1.28828,0.00156798,0.00156798,0.00156798
5,1431.25,1.44201,2.20278,4.48894,1.29242,0.00494,0.53846,0.01738,0.01061,0.00494,0.53846,0.01751,0.00917,1.26406,2.32319,6.165,1.29524,0.00153497,0.00153497,0.00153497
6,1638,1.50932,2.27346,3.64531,1.37112,0.60572,0.10769,0.09621,0.07163,0.60511,0.10853,0.09822,0.07582,1.12304,2.00785,5.00103,1.2647,0.00150197,0.00150197,0.00150197
7,1845.42,1.52052,1.82045,3.54988,1.35269,0.0136,0.30769,0.02504,0.01812,0.01326,0.3,0.02592,0.01679,1.16013,1.98582,4.78266,1.24138,0.00146896,0.00146896,0.00146896
8,2073.75,1.34689,2.5206,3.44177,1.20228,0.60808,0.14427,0.06732,0.04901,0.60808,0.14427,0.06751,0.05019,1.12947,1.2919,4.64208,1.1568,0.00143595,0.00143595,0.00143595
9,2300.85,1.33138,2.09141,3.38391,1.23692,0.69475,0.20769,0.15539,0.10686,0.69475,0.20769,0.15498,0.11677,1.18427,1.31677,4.2279,1.23611,0.00140295,0.00140295,0.00140295
10,2521.27,1.38038,2.17811,3.26854,1.29044,0.65256,0.21538,0.13238,0.08706,0.65256,0.21538,0.13357,0.09557,1.18712,1.30726,5.36933,1.28519,0.00136994,0.00136994,0.00136994
